"Name.Ret","Month.Ret","Sales.Ret","ExciseTax.Ret","lat.Ret","lon.Ret","Address.Ret"
"123","POT STOP","2016-04",107692,39846,47.661264,-122.3503093,"4465 FREMONT AVE N, SEATTLE, WA 98103"
"61","RUCKUS","2016-04",166550,61624,47.6229705,-122.3129892,"1465 E REPUBLICAN ST, SEATTLE, WA 98112"
"72","SEATTLE CANNABIS COMPANY","2016-04",295600,109372,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"116","SEATTLE CANNABIS COMPANY","2016-04",67226,24874,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"7","UNCLE IKE'S","2016-04",1408444,521124,47.6131353,-122.3016857,"2310 E UNION ST. SEATTLE, WA 98122"
"82","#HASHTAG","2016-05",295968,109508,47.6504001,-122.3423456,"3540 STONE WAY N, SEATTLE WA 98103"
"37","AMERICAN MARY","2016-05",230246,85191,47.6611776,-122.3242521,"321 NE 45TH ST, SEATTLE WA 98105"
"48","CANNABIS CITY","2016-05",273186,101079,47.5787689,-122.3295643,"2733 4TH AVE S, SEATTLE WA 98134"
"18","GANJA GODDESS","2016-05",606103,224258,47.5751712,-122.334707,"3207 1ST AVE S UNIT A, SEATTLE WA 98134"
"30","HERBAN LEGENDS","2016-05",289177,106995,47.6121719,-122.3477274,"55 Bell St, Seattle, WA 98121, USA"
"104","OZ.","2016-05",186244,68910,47.6536448,-122.3429975,"3831 Stone Way N, Seattle, WA 98103, USA"
"93","PONDER","2016-05",187775,69477,47.6127099,-122.3007719,"2413 East Union Street, Seattle, WA 98122, USA"
"130","POT SHOP","2016-05",78539,29059,47.6338397,-122.3420538,"1628 Dexter Ave N, Seattle, WA 98100"
"122","POT STOP","2016-05",135252,50043,47.661264,-122.3503093,"4465 FREMONT AVE N, SEATTLE, WA 98103"
"60","RUCKUS","2016-05",188057,69581,47.6229705,-122.3129892,"1465 E REPUBLICAN ST, SEATTLE, WA 98112"
"71","SEATTLE CANNABIS COMPANY","2016-05",286519,106012,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"115","SEATTLE CANNABIS COMPANY","2016-05",145725,53918,47.5745964,-122.3339079,"3230 1ST AVE S, SEATTLE WA 98134"
"6","UNCLE IKE'S","2016-05",1370628,507132,47.6131353,-122.3016857,"2310 E UNION ST. SEATTLE, WA 98122"
"81","#HASHTAG","2016-06",275480,101928,47.6504001,-122.3423456,"3540 STONE WAY N, SEATTLE WA 98103"
