"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"45","BMF WASHINGTON","All-2015","$5,356,970","$599,527","Pacific County","Producer/Processor since Aug 2014","http://www.502data.com/license/412149"
"46","BMF WASHINGTON","All-2014","$1,309,599","$436,533","Pacific County","Producer/Processor since Aug 2014","http://www.502data.com/license/412149"
"47","ARTIZEN CANNABIS COMPANY","Oct-2016","$662,161","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"48","ARTIZEN CANNABIS COMPANY","Sep-2016","$830,344","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"49","ARTIZEN CANNABIS COMPANY","Aug-2016","$810,846","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"50","ARTIZEN CANNABIS COMPANY","Jul-2016","$733,316","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"51","ARTIZEN CANNABIS COMPANY","Jun-2016","$580,557","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"52","ARTIZEN CANNABIS COMPANY","May-2016","$544,105","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"53","ARTIZEN CANNABIS COMPANY","Apr-2016","$458,802","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"54","ARTIZEN CANNABIS COMPANY","Mar-2016","$417,134","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"55","ARTIZEN CANNABIS COMPANY","Feb-2016","$365,788","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"56","ARTIZEN CANNABIS COMPANY","Jan-2016","$522,408","$0","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"57","ARTIZEN CANNABIS COMPANY","All-2015","$3,668,769","$69,993","Thurston County","Producer/Processor since Apr 2015","http://www.502data.com/license/413462"
"58","HARMONY FARMS","Oct-2016","$581,972","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"59","HARMONY FARMS","Sep-2016","$468,277","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"60","HARMONY FARMS","Aug-2016","$550,575","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"61","HARMONY FARMS","Jul-2016","$375,343","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"62","HARMONY FARMS","Jun-2016","$362,430","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"63","HARMONY FARMS","May-2016","$403,130","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"64","HARMONY FARMS","Apr-2016","$337,285","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"65","HARMONY FARMS","Mar-2016","$387,964","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"66","HARMONY FARMS","Feb-2016","$374,095","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"67","HARMONY FARMS","Jan-2016","$412,208","$0","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"68","HARMONY FARMS","All-2015","$667,616","$10","Thurston County","Producer/Processor since Mar 2015","http://www.502data.com/license/415449"
"69","GREEN FREEDOM","Oct-2016","$483,735","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"70","GREEN FREEDOM","Sep-2016","$446,947","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"71","GREEN FREEDOM","Aug-2016","$397,995","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"72","GREEN FREEDOM","Jul-2016","$280,149","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"73","GREEN FREEDOM","Jun-2016","$235,772","$0","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
"74","GREEN FREEDOM","May-2016","$182,665","-$1","Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com/license/412515"
