"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"53","KUSHMART","Jan-2016",646070,239046,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"54","KUSHMART","All-2015",5082863,1819613,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"55","KUSHMART","All-2014",188833,62944,"Snohomish County","Retailer since Nov 2014","http://www.502data.com//license/414520"
"56","GREENLIGHT","Sep-2016",768164,284221,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"57","GREENLIGHT","Aug-2016",695980,257513,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"58","GREENLIGHT","Jul-2016",744892,275610,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"59","GREENLIGHT","Jun-2016",650260,240596,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"60","GREENLIGHT","May-2016",631422,233626,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"61","GREENLIGHT","Apr-2016",647486,239570,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"62","GREENLIGHT","Mar-2016",669374,247668,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"63","GREENLIGHT","Feb-2016",638454,236228,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"64","GREENLIGHT","Jan-2016",596975,220881,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"65","GREENLIGHT","All-2015",5651610,2014299,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"66","GREENLIGHT","All-2014",305107,101702,"Spokane County","Retailer since Sep 2014","http://www.502data.com//license/415112"
"67","HIGHER LEAF MARIJUANA BOUTIQUE","Sep-2016",756200,279794,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"68","HIGHER LEAF MARIJUANA BOUTIQUE","Aug-2016",767237,283878,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"69","HIGHER LEAF MARIJUANA BOUTIQUE","Jul-2016",752359,278373,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"70","HIGHER LEAF MARIJUANA BOUTIQUE","Jun-2016",649465,240302,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"71","HIGHER LEAF MARIJUANA BOUTIQUE","May-2016",623055,230530,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"72","HIGHER LEAF MARIJUANA BOUTIQUE","Apr-2016",603365,223245,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"73","HIGHER LEAF MARIJUANA BOUTIQUE","Mar-2016",570847,211213,"King County","Retailer since Mar 2016","http://www.502data.com//license/422218"
"74","WORLD OF WEED","Sep-2016",743858,275228,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"75","WORLD OF WEED","Aug-2016",680793,251893,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"76","WORLD OF WEED","Jul-2016",617670,228538,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"77","WORLD OF WEED","Jun-2016",462636,171175,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"78","WORLD OF WEED","May-2016",417759,154571,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"79","WORLD OF WEED","Apr-2016",402787,149031,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"80","WORLD OF WEED","Mar-2016",371538,137469,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"81","WORLD OF WEED","Feb-2016",328432,121520,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"82","WORLD OF WEED","Jan-2016",280854,103916,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"83","WORLD OF WEED","All-2015",871838,322051,"Pierce County","Retailer since Jun 2015","http://www.502data.com//license/414449"
"84","420 CARPENTER","Sep-2016",733219,271291,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"85","420 CARPENTER","Aug-2016",702986,260105,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"86","420 CARPENTER","Jul-2016",565296,209160,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"87","420 CARPENTER","Jun-2016",442985,163904,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"88","420 CARPENTER","May-2016",391969,145029,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"89","420 CARPENTER","Apr-2016",370141,136952,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"90","420 CARPENTER","Mar-2016",357182,132157,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"91","420 CARPENTER","Feb-2016",326493,120802,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"92","420 CARPENTER","Jan-2016",323403,119659,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"93","420 CARPENTER","All-2015",2525437,900939,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"94","420 CARPENTER","All-2014",352174,117391,"Thurston County","Retailer since Jul 2014","http://www.502data.com//license/415083"
"95","ISSAQUAH CANNABIS COMPANY","Sep-2016",730287,270206,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
"96","ISSAQUAH CANNABIS COMPANY","Aug-2016",757623,280321,"King County","Retailer since Jan 2015","http://www.502data.com//license/414867"
