"Name","Month","Sales","ExciseTax","County","Established","ProdProcURLLink"
"47","COWLITZ COUNTY CANNABIS CULTIVATION","May-2016",415409,0,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"48","COWLITZ COUNTY CANNABIS CULTIVATION","Apr-2016",449131,0,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"49","COWLITZ COUNTY CANNABIS CULTIVATION","Mar-2016",347798,0,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"50","COWLITZ COUNTY CANNABIS CULTIVATION","Feb-2016",280214,0,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"51","COWLITZ COUNTY CANNABIS CULTIVATION","Jan-2016",227860,0,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"52","COWLITZ COUNTY CANNABIS CULTIVATION","All-2015",612033,16372,"Cowlitz County","Producer/Processor since Apr 2015","http://www.502data.com//license/416502"
"53","SPINNING HEADS","Sep-2016",484134,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"54","SPINNING HEADS","Aug-2016",554265,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"55","SPINNING HEADS","Jul-2016",508353,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"56","SPINNING HEADS","Jun-2016",383418,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"57","SPINNING HEADS","May-2016",493006,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"58","SPINNING HEADS","Apr-2016",299945,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"59","SPINNING HEADS","Mar-2016",367835,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"60","SPINNING HEADS","Feb-2016",260062,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"61","SPINNING HEADS","Jan-2016",306223,0,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"62","SPINNING HEADS","All-2015",2113510,200643,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"63","SPINNING HEADS","All-2014",53868,17956,"Pierce County","Producer/Processor since Mar 2015","http://www.502data.com//license/413718"
"64","HARMONY FARMS","Sep-2016",468277,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"65","HARMONY FARMS","Aug-2016",550575,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"66","HARMONY FARMS","Jul-2016",375343,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"67","HARMONY FARMS","Jun-2016",362430,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"68","HARMONY FARMS","May-2016",403130,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"69","HARMONY FARMS","Apr-2016",337285,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"70","HARMONY FARMS","Mar-2016",387964,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"71","HARMONY FARMS","Feb-2016",374095,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"72","HARMONY FARMS","Jan-2016",412208,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"73","HARMONY FARMS","All-2015",667616,10,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/415449"
"74","GREEN FREEDOM","Sep-2016",446947,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"75","GREEN FREEDOM","Aug-2016",397995,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"76","GREEN FREEDOM","Jul-2016",280149,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"77","GREEN FREEDOM","Jun-2016",235772,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"78","GREEN FREEDOM","May-2016",182665,1,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"79","GREEN FREEDOM","Apr-2016",201026,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"80","GREEN FREEDOM","Mar-2016",121483,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"81","GREEN FREEDOM","Feb-2016",192479,0,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"82","GREEN FREEDOM","Jan-2016",93231,1647,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"83","GREEN FREEDOM","All-2015",580482,3375,"Grays Harbor County","Producer/Processor since May 2015","http://www.502data.com//license/412515"
"84","DOC CROC","Sep-2016",388163,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"85","DOC CROC","Aug-2016",367425,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"86","DOC CROC","Jul-2016",260845,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"87","DOC CROC","Jun-2016",282996,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"88","DOC CROC","May-2016",185839,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
"89","DOC CROC","Apr-2016",261032,0,"Thurston County","Producer/Processor since Mar 2015","http://www.502data.com//license/413948"
